index,start_time,type,ego,total_background_vehicles,n_background_vehicles,impact
529,0.0,AV_2,458,50,50,1.0
530,11.0,AV_2,840,56,9,0.9232457060824493
531,0.0,AV_2,1196,46,46,1.0
532,2.0,AV_2,1282,33,12,0.795255794656176
533,0.0,AV_2,613,136,136,1.0
534,10.0,AV_2,1758,54,9,0.9958475603149053
535,4.0,AV_2,2276,57,6,0.8556921557342021
536,0.0,AV_2,2281,41,41,1.0
537,27.0,AV_2,1669,134,8,0.8618929107287066
538,8.0,AV_2,1025,83,12,0.9279866291798414
539,2.0,AV_2,1412,30,0,1.0
540,15.0,AV_2,794,54,16,0.8663889779950331
541,8.0,AV_2,801,54,17,0.8961604463262259
542,7.0,AV_2,1718,58,15,0.8551566303604127
543,13.0,AV_2,1447,19,3,0.9729785193644966
544,8.0,AV_2,779,14,5,0.8610291769105181
545,6.0,AV_2,1314,16,4,0.8861562142450455
546,6.0,AV_2,491,24,7,0.9898177194217587
547,4.0,AV_2,2276,60,4,0.9323530968815943
548,0.0,AV_2,304,49,49,1.0
549,4.0,AV_2,541,77,4,0.8767781412946034
550,0.0,AV_2,3136,42,42,1.0
551,20.0,AV_2,1310,10,3,0.9201477581483739
552,0.0,AV_2,526,61,61,1.0
553,0.0,AV_2,258,36,36,1.0
554,1.0,AV_2,218,92,16,1.0
555,22.0,AV_2,151,78,21,0.9586328834250215
556,0.0,AV_2,925,44,44,1.0
557,0.0,AV_2,787,193,193,1.0
558,15.0,AV_2,1214,98,9,0.8597483277530821
559,9.0,AV_2,892,69,11,0.9984897820852666
560,14.0,AV_2,12,14,2,0.7967242008255986
561,6.0,AV_2,1430,69,13,0.8928565677562939
562,2.0,AV_2,889,95,0,1.0
563,8.0,AV_2,2106,25,1,1.0
564,0.0,AV_2,681,28,28,1.0
565,4.0,AV_2,14,165,38,0.8697537842141237
566,0.0,AV_2,1,56,56,1.0
